Category,ID,Latitude,Longitude,Date,MODIS_Tile,NASADEM_NC_001_Line_Y_30m,NASADEM_NC_001_Sample_X_30m,NASADEM_NC_001_NASADEM_HGT,NASADEM_NUMNC_001_NASADEM_NUM,NASADEM_NUMNC_001_NASADEM_NUM_bitmask,NASADEM_NUMNC_001_NASADEM_NUM_Source,NASADEM_NUMNC_001_NASADEM_NUM_Source_Description
Douala,DLACEN,4.05,9.7,2000-02-11,h18v08,3420.0,2520.0,15.0,2.0,0b0000000000000010,0b00000010,SRTM (2)
Douala,DLANRT,4.1,9.75,2000-02-11,h18v08,3240.0,2700.0,17.0,2.0,0b0000000000000010,0b00000010,SRTM (2)
Douala,DLASOU,3.98,9.72,2000-02-11,h18v08,72.0,2592.0,6.0,2.0,0b0000000000000010,0b00000010,SRTM (2)
Douala,DLAWST,4.05,9.65,2000-02-11,h18v08,3420.0,2340.0,10.0,2.0,0b0000000000000010,0b00000010,SRTM (2)
